filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230301_180103,0,43,FALSE,JL,
SWIFT01_20230301_180103,1,10,FALSE,JL,
SWIFT01_20230301_180103,1,57,FALSE,JL,
SWIFT01_20230301_180103,1,21,FALSE,JL,
SWIFT01_20230301_180103,1,44,FALSE,JL,
SWIFT01_20230301_200109,0,4,FALSE,JL,
SWIFT01_20230301_200109,0,55,FALSE,JL,
SWIFT01_20230301_200109,0,36,FALSE,JL,
SWIFT01_20230301_200109,0,18,FALSE,JL,
SWIFT01_20230301_200109,1,54,FALSE,JL,
SWIFT01_20230301_200109,1,7,FALSE,JL,
SWIFT01_20230301_200109,1,2,FALSE,JL,
SWIFT01_20230301_200109,1,54,NA,JL,
SWIFT01_20230301_200109,1,23,FALSE,JL,
SWIFT01_20230127_080024,0,17,FALSE,JL,
SWIFT01_20230127_080024,0,46,FALSE,JL,
SWIFT01_20230127_080024,0,1,FALSE,JL,
SWIFT01_20230127_080024,0,12,FALSE,JL,
SWIFT01_20230127_080024,1,28,FALSE,JL,
SWIFT01_20230127_080024,1,52,FALSE,JL,
SWIFT01_20230127_080024,1,52,NA,JL,duplicate minute
SWIFT01_20230127_080024,1,37,FALSE,JL,
SWIFT01_20230127_080024,1,59,FALSE,JL,
SWIFT01_20230127_140036,0,39,FALSE,JL,
SWIFT01_20230127_140036,0,35,FALSE,JL,
SWIFT01_20230127_140036,0,34,TRUE,JL,x
SWIFT01_20230127_140036,0,57,FALSE,JL,
SWIFT01_20230127_140036,1,46,FALSE,JL,
SWIFT01_20230127_140036,1,13,FALSE,JL,
SWIFT01_20230127_140036,1,41,FALSE,JL,
SWIFT01_20230127_140036,1,46,NA,JL,duplicate minute
SWIFT01_20230127_140036,1,10,FALSE,JL,
SWIFT01_20230127_160041,0,44,FALSE,JL,
SWIFT01_20230127_160041,0,17,FALSE,JL,
SWIFT01_20230127_160041,0,14,FALSE,JL,
SWIFT01_20230127_160041,0,9,FALSE,JL,
SWIFT01_20230127_160041,1,7,TRUE,JL,
SWIFT01_20230127_160041,1,14,FALSE,JL,
SWIFT01_20230127_160041,1,51,TRUE,JL,
SWIFT01_20230127_160041,1,29,FALSE,JL,
SWIFT01_20230127_200050,0,9,FALSE,JL,
SWIFT01_20230127_200050,0,12,FALSE,JL,
SWIFT01_20230127_200050,0,59,FALSE,JL,
SWIFT01_20230127_200050,0,28,FALSE,JL,
SWIFT01_20230127_200050,1,46,FALSE,JL,
SWIFT01_20230127_200050,1,13,FALSE,JL,
SWIFT01_20230127_200050,1,58,FALSE,JL,
SWIFT01_20230127_200050,1,37,FALSE,JL,
SWIFT01_20230128_020005,0,8,FALSE,JL,
SWIFT01_20230128_020005,0,32,FALSE,JL,
SWIFT01_20230128_020005,0,3,FALSE,JL,
SWIFT01_20230128_020005,0,11,FALSE,JL,
SWIFT01_20230128_020005,1,51,FALSE,JL,
SWIFT01_20230128_020005,1,7,FALSE,JL,
SWIFT01_20230128_020005,1,42,FALSE,JL,
SWIFT01_20230128_020005,1,46,FALSE,JL,
SWIFT01_20230128_060015,0,21,TRUE,JL,
SWIFT01_20230128_060015,0,53,TRUE,JL,
SWIFT01_20230128_060015,0,10,FALSE,JL,
SWIFT01_20230128_060015,0,0,FALSE,JL,
SWIFT01_20230128_060015,1,27,FALSE,JL,
SWIFT01_20230128_060015,1,38,FALSE,JL,
SWIFT01_20230128_060015,1,38,NA,,duplicate minute
SWIFT01_20230128_060015,1,50,FALSE,,
SWIFT01_20230128_060015,1,53,FALSE,,
SWIFT01_20230128_080019,0,27,FALSE,,
SWIFT01_20230128_080019,0,35,FALSE,,
SWIFT01_20230128_080019,0,52,FALSE,,
SWIFT01_20230128_080019,0,4,FALSE,,
SWIFT01_20230128_080019,1,35,FALSE,,
SWIFT01_20230128_080019,1,48,FALSE,,
SWIFT01_20230128_080019,1,1,FALSE,,
SWIFT01_20230128_080019,1,29,TRUE,,x
SWIFT01_20230128_100027,0,39,FALSE,,
SWIFT01_20230128_100027,0,0,FALSE,,
SWIFT01_20230128_100027,0,42,FALSE,,
SWIFT01_20230128_100027,0,7,FALSE,,
SWIFT01_20230128_100027,1,35,FALSE,,
SWIFT01_20230128_100027,1,41,FALSE,,
SWIFT01_20230128_100027,1,42,FALSE,,
